sep=,
Time,x-Position,y-Position,Collision,SplitTimes
15.96,105,-241,,
15.98,106,-243,,
16,106,-244,,
16.02,106,-245,,
16.04,107,-247,,
16.06,108,-249,,
16.08,109,-251,,
16.1,109,-252,,
16.12,109,-253,,
16.14,110,-254,,
16.16,112,-257,,
16.18,112,-257,,
16.2,112,-257,,
16.22,113,-257,,
16.24,114,-257,,
16.26,114,-257,,
16.28,115,-257,,
16.3,117,-257,,
16.32,117,-257,,
16.34,118,-257,,
16.36,119,-257,,
16.38,119,-257,,
16.4,120,-257,,
16.42,122,-257,,
16.44,123,-257,,
16.46,123,-257,,
16.48,124,-257,,
16.5,125,-257,,
16.52,127,-257,,
16.54,128,-257,,
16.56,128,-257,,
16.58,129,-257,,
16.6,130,-257,,
16.62,132,-257,,
16.64,133,-257,,
16.66,134,-257,,
16.68,135,-257,,
16.7,135,-257,,
16.72,136,-257,,
16.74,139,-257,,
16.76,140,-257,,
16.78,141,-257,,
16.8,142,-257,,
16.82,142,-257,,
16.84,145,-257,,
16.86,146,-257,,
16.88,147,-257,,
16.9,148,-257,,
16.92,149,-257,,
16.94,152,-257,,
16.96,153,-257,,
16.98,154,-256,,
17,155,-256,,
17.02,156,-256,,
17.04,157,-256,,
17.06,160,-255,,
17.08,161,-255,,
17.1,162,-255,,
17.12,163,-255,,
17.14,164,-254,,
17.16,167,-253,,
17.18,168,-253,,
17.2,169,-252,,
17.22,171,-252,,
17.24,172,-251,,
17.26,173,-251,,
17.28,176,-250,,
17.3,177,-249,,
17.32,178,-248,,
17.34,180,-248,,
17.36,181,-247,,
17.38,184,-246,,
17.4,185,-245,,
17.42,187,-244,,
17.44,188,-243,,
17.46,189,-242,,
17.48,193,-241,,
17.5,194,-240,,
17.52,195,-239,,
17.54,197,-238,,
17.56,198,-237,,
17.58,199,-236,,
17.6,203,-233,,
17.62,204,-232,,
17.64,205,-231,,
17.66,207,-230,,
17.68,208,-229,,
17.7,212,-226,,
17.72,213,-225,,
17.74,214,-224,,
17.76,216,-222,,
17.78,217,-221,,
17.8,221,-218,,
17.82,222,-217,,
17.84,224,-215,,
17.86,225,-214,,
17.88,227,-212,,
17.9,228,-211,,
17.92,232,-208,,
17.94,233,-206,,
17.96,235,-204,,
17.98,236,-202,,
18,238,-201,,
18.02,242,-197,,
18.04,243,-196,,
18.06,245,-194,,
18.08,246,-192,,
18.1,248,-190,,
18.12,251,-186,,
18.14,253,-184,,
18.16,255,-182,,
18.18,256,-180,,
18.2,258,-178,,
18.22,259,-176,,
18.24,263,-172,,
18.26,265,-170,,
18.28,266,-168,,
18.3,268,-166,,
18.32,270,-163,,
18.34,273,-159,,
18.36,275,-156,,
18.38,277,-154,,
18.4,278,-152,,
18.42,280,-150,,
18.44,281,-147,,
18.46,285,-142,,
18.48,287,-140,,
18.5,289,-137,,
18.52,290,-135,,
18.54,292,-132,,
18.56,296,-127,,
18.58,298,-124,,
18.6,299,-122,,
18.62,301,-119,,
18.64,302,-116,,
18.66,307,-111,,
18.68,308,-108,,
18.7,310,-105,,
18.72,312,-101,,
18.74,314,-98,,
18.76,316,-96,,
18.78,317,-93,,
18.8,321,-87,,
18.82,323,-84,,
18.84,325,-80,,
18.86,326,-77,,
18.88,328,-74,,
18.9,332,-68,,
18.92,334,-65,,
18.94,335,-62,,
18.96,337,-58,,
18.98,339,-55,,
19,340,-52,,
19.02,344,-45,,
19.04,346,-42,,
19.06,348,-38,,
19.08,349,-35,,
19.1,351,-32,,
19.12,355,-25,,
