sep=,
Time,x-Position,y-Position,Collision
25,5,-2,,
25.02,5,-2,Plane (180),
25.04,5,-2,Plane (180),
25.06,5,-2,,
25.08,5,-2,Ground,
25.1,5,-2,,
25.12,5,-2,,
25.14,5,-2,,
25.16,5,-2,,
25.18,5,-2,,
25.2,5,-2,,
25.22,5,-2,,
25.24,5,-2,Ground,
25.26,5,-2,,
25.28,5,-2,,
25.3,5,-2,,
25.32,5,-2,,
25.34,5,-2,,
25.36,5,-2,,
25.38,5,-2,,
25.4,5,-2,,
25.42,5,-2,,
25.44,5,-2,,
25.46,5,-2,,
25.48,5,-2,,
25.5,5,-2,,
25.52,5,-2,,
25.54,5,-2,,
25.56,5,-2,,
25.58,5,-2,,
25.6,5,-2,,
25.62,5,-2,,
25.64,5,-2,,
25.66,5,-2,,
25.68,5,-2,,
25.7,5,-2,,
25.72,5,-2,,
25.74,5,-2,,
25.76,5,-2,,
25.78,5,-2,Plane (181),
25.8,5,-2,,
25.82,5,-2,,
25.84,5,-2,,
25.86,5,-2,,
25.88,5,-2,,
25.9,5,-2,,
25.92,5,-2,,
25.94,5,-2,,
25.96,5,-2,,
25.98,5,-2,,
26,5,-2,,
26.02,5,-2,,
26.04,5,-2,,
26.06,5,-2,,
26.08,5,-2,,
26.1,5,-2,,
26.12,5,-2,,
26.14,5,-2,,
26.16,5,-2,,
26.18,5,-2,,
26.2,4,-2,,
26.22,4,-2,,
26.24,4,-2,,
26.26,4,-2,,
26.28,4,-2,,
26.3,4,-2,,
26.32,4,-2,,
26.34,4,-2,Ground,
26.36,4,-2,,
26.38,4,-2,,
26.4,4,-2,,
26.42,4,-2,,
26.44,4,-2,Cube,
26.46,4,-2,,
26.48,4,-2,,
26.5,4,-2,,
26.52,4,-2,,
26.54,4,-2,,
26.56,4,-2,,
26.58,4,-2,,
26.6,4,-2,,
26.62,4,-2,,
26.64,4,-2,,
26.66,3,-2,,
26.68,3,-2,,
26.7,3,-2,,
26.72,3,-2,,
26.74,3,-2,,
26.76,3,-2,,
26.78,3,-2,,
26.8,3,-2,,
26.82,3,-2,,
26.84,3,-2,Cube,
26.86,3,-2,,
26.88,3,-2,,
26.9,3,-2,,
26.92,3,-2,,
26.94,3,-2,,
26.96,3,-2,,
26.98,3,-2,,
27,3,-2,,
27.02,3,-2,,
27.04,2,-2,,
27.06,2,-2,,
27.08,2,-2,,
27.1,2,-2,,
27.12,2,-2,,
27.14,2,-2,,
27.16,2,-2,,
27.18,2,-2,Plane (184),
27.2,2,-2,,
27.22,2,-2,,
27.24,2,-2,,
27.26,2,-2,,
27.28,2,-2,,
27.3,2,-2,,
27.32,2,-2,,
27.34,2,-2,,
27.36,1,-2,,
27.38,1,-2,,
27.4,1,-2,,
27.42,1,-2,,
27.44,1,-2,Ground,
27.46,1,-2,,
27.48,1,-2,,
27.5,1,-2,Plane (188),
27.52,1,-2,,
27.54,1,-2,,
27.56,1,-2,,
27.58,1,-2,,
27.6,1,-2,,
27.62,1,-2,,
27.64,0,-2,,
27.66,0,-2,,
27.68,0,-2,,
27.7,0,-2,,
27.72,0,-2,,
27.74,0,-2,,
27.76,0,-2,,
27.78,0,-2,,
27.8,0,-2,,
27.82,0,-2,,
27.84,0,-2,,
27.86,0,-2,,
27.88,0,-2,,
27.9,0,-2,,
27.92,-1,-2,,
27.94,-1,-2,,
27.96,-1,-2,,
27.98,-1,-2,,
28,-1,-2,,
28.02,-1,-2,,
28.04,-1,-2,Cube,
28.06,-1,-2,,
28.08,-1,-2,,
28.1,-1,-2,,
