sep=,
Time,x-Position,y-Position,Checkpoint,Collisionx,Collisiony
13.8,402,564,,0,0
13.82,401,564,,0,0
13.84,400,564,,0,0
13.86,398,564,,0,0
13.88,396,564,,0,0
13.9,395,564,,0,0
13.92,394,564,,0,0
13.94,393,564,,0,0
13.96,390,564,,0,0
13.98,389,564,,0,0
14,387,564,,0,0
14.02,386,564,,0,0
14.04,384,564,,0,0
14.06,383,564,,0,0
14.08,380,564,,0,0
14.1,378,564,,0,0
14.12,377,564,,0,0
14.14,375,564,,0,0
14.16,373,564,,0,0
14.18,370,564,,0,0
14.2,368,564,,0,0
14.22,366,564,,0,0
14.24,365,564,,0,0
14.26,363,564,,0,0
14.28,359,564,,0,0
14.3,357,564,,0,0
14.32,355,564,,0,0
14.34,353,564,,0,0
14.36,350,563,,0,0
14.38,348,562,,0,0
14.4,344,559,,0,0
14.42,342,558,,0,0
14.44,340,557,,0,0
14.46,338,556,,0,0
14.48,336,555,,0,0
14.5,332,552,,0,0
14.52,330,551,,0,0
14.54,327,550,,0,0
14.56,325,549,,0,0
14.58,323,548,,0,0
14.6,318,545,,0,0
14.62,316,544,,0,0
14.64,314,543,,0,0
14.66,311,542,,0,0
14.68,309,541,,0,0
14.7,307,539,,0,0
14.72,302,536,,0,0
14.74,299,535,,0,0
14.76,297,534,,0,0
14.78,294,532,,0,0
14.8,292,531,,0,0
14.82,287,528,,0,0
14.84,284,526,,0,0
14.86,281,525,,0,0
14.88,279,524,,0,0
14.9,276,522,,0,0
14.92,271,519,,0,0
14.94,268,517,,0,0
14.96,265,516,,0,0
14.98,263,515,,0,0
15,260,513,,0,0
15.02,257,512,,0,0
15.04,252,508,,0,0
15.06,249,506,,0,0
15.08,246,505,,0,0
15.1,243,503,,0,0
15.12,240,502,,0,0
15.14,235,498,,0,0
15.16,232,496,,0,0
15.18,229,494,,0,0
15.2,226,493,,0,0
15.22,223,491,,0,0
15.24,218,487,,0,0
15.26,215,485,,0,0
15.28,212,483,,0,0
15.3,209,481,,0,0
15.32,207,479,,0,0
15.34,204,478,,0,0
15.36,199,473,,0,0
15.38,196,471,,0,0
15.4,193,469,,0,0
15.42,191,467,,0,0
15.44,188,466,,0,0
15.46,183,461,,0,0
15.48,181,459,,0,0
15.5,178,457,,0,0
15.52,176,455,,0,0
15.54,173,453,,0,0
15.56,169,448,,0,0
15.58,166,446,,0,0
15.6,164,444,,0,0
15.62,162,442,,0,0
15.64,159,440,,0,0
15.66,157,438,,0,0
15.68,153,434,,0,0
15.7,151,432,,0,0
15.72,149,430,,0,0
15.74,147,428,,0,0
15.76,145,426,,0,0
15.78,141,421,,0,0
15.8,139,419,,0,0
15.82,137,417,,0,0
15.84,135,414,,0,0
15.86,133,412,,0,0
15.88,129,408,,0,0
15.9,128,406,,0,0
15.92,126,404,,0,0
15.94,124,402,,0,0
15.96,123,399,,0,0
15.98,121,397,,0,0
16,119,395,,0,0
16.02,116,390,,102,391
16.04,115,388,,0,0
16.06,113,386,,0,0
16.08,112,384,,0,0
16.1,110,382,,0,0
16.12,108,378,,0,0
16.14,106,376,,0,0
16.16,105,374,,0,0
16.18,104,372,,0,0
16.2,102,370,,0,0
16.22,100,365,,0,0
16.24,99,363,,0,0
16.26,98,361,,0,0
16.28,96,359,,0,0
16.3,95,358,,0,0
16.32,94,356,,0,0
16.34,92,351,,0,0
16.36,91,349,,0,0
16.38,90,348,,0,0
16.4,89,346,,0,0
16.42,88,344,,0,0
16.44,87,340,,0,0
16.46,86,338,,0,0
16.48,85,336,,0,0
16.5,84,334,,0,0
16.52,83,333,,0,0
16.54,82,328,,0,0
16.56,81,327,,0,0
16.58,80,325,,0,0
16.6,80,323,,0,0
16.62,79,322,,0,0
16.64,78,320,,0,0
16.66,77,316,,0,0
16.68,77,315,,0,0
16.7,76,313,,0,0
16.72,75,311,,0,0
16.74,75,310,,0,0
16.76,74,306,,0,0
16.78,74,305,,0,0
16.8,73,303,,0,0
16.82,73,302,,0,0
16.84,72,300,,0,0
16.86,72,297,,0,0
16.88,71,295,,0,0
16.9,71,294,,0,0
16.92,71,292,,0,0
16.94,70,291,,0,0
16.96,70,290,,0,0
16.98,70,286,,0,0
17,69,285,,0,0
17.02,69,284,,0,0
17.04,69,283,,0,0
17.06,69,281,,0,0
17.08,69,278,,0,0
17.1,69,277,,0,0
17.12,68,276,,0,0
17.14,68,275,,0,0
17.16,68,273,,0,0
17.18,68,270,,0,0
17.2,68,269,,0,0
17.22,68,268,,0,0
17.24,68,267,,0,0
17.26,68,266,,0,0
17.28,68,265,,0,0
17.3,69,262,,0,0
17.32,69,261,,0,0
17.34,69,260,,0,0
17.36,69,259,,0,0
17.38,69,259,,0,0
17.4,70,256,,0,0
17.42,70,255,,0,0
17.44,70,254,,0,0
17.46,71,253,,0,0
17.48,71,253,,0,0
17.5,72,250,,0,0
17.52,72,249,,0,0
17.54,72,249,,0,0
17.56,73,248,,0,0
17.58,73,247,,0,0
17.6,74,246,,0,0
17.62,75,244,,0,0
17.64,75,244,,0,0
17.66,75,243,,0,0
17.68,76,242,,0,0
17.7,76,242,,0,0
17.72,78,240,,0,0
17.74,78,239,,0,0
17.76,79,239,,0,0
17.78,79,238,,0,0
17.8,80,238,,0,0
17.82,81,237,,0,0
17.84,82,235,,0,0
17.86,83,235,,0,0
17.88,83,235,,0,0
17.9,84,234,,0,0
17.92,85,234,,0,0
17.94,86,232,,0,0
17.96,87,232,,0,0
17.98,88,232,,0,0
18,89,231,,0,0
18.02,90,231,,0,0
18.04,91,230,,0,0
18.06,92,229,,0,0
18.08,93,229,,0,0
18.1,94,229,,0,0
18.12,95,229,,0,0
18.14,96,229,,0,0
18.16,98,228,,0,0
18.18,99,227,,0,0
18.2,100,227,,0,0
18.22,101,227,,0,0
18.24,102,227,,0,0
18.26,104,226,,0,0
18.28,105,226,,0,0
18.3,106,226,,0,0
18.32,107,226,,0,0
18.34,109,226,,0,0
18.36,111,226,,0,0
18.38,112,226,,0,0
18.4,113,226,,0,0
18.42,114,226,,0,0
18.44,116,226,,0,0
18.46,117,226,,0,0
18.48,120,226,,0,0
18.5,121,226,,0,0
18.52,122,227,,0,0
18.54,123,227,,0,0
18.56,125,227,,0,0
18.58,127,227,,0,0
18.6,129,227,,0,0
18.62,130,228,,0,0
18.64,132,228,,0,0
18.66,133,228,,0,0
18.68,136,228,,0,0
18.7,137,229,,0,0
18.72,139,229,,0,0
18.74,140,230,,0,0
18.76,142,230,,0,0
18.78,143,231,,0,0
18.8,146,231,,0,0
18.82,148,231,,0,0
18.84,150,232,,0,0
18.86,151,233,,0,0
18.88,153,233,,0,0
18.9,156,234,,0,0
18.92,158,234,,0,0
