sep=,
Time,x-Position,y-Position,SplitTimes,Collision
20.24,428,152,Wall_584_209,
20.26,432,154,Wall_584_209,
20.28,437,155,,
20.3,442,160,,
20.32,451,161,,
20.34,456,162,,
20.36,461,164,,
20.38,466,166,,
20.4,471,171,,
20.42,479,171,,
20.44,484,173,,
20.46,489,174,,
20.48,494,176,,
20.5,499,181,,
20.52,507,182,,
20.54,512,183,,
20.56,517,185,,
20.58,521,186,,
20.6,526,188,,
20.62,532,193,,
20.64,539,193,,
20.66,544,195,,
20.68,548,197,,
20.7,553,198,,
20.72,558,203,,
20.74,564,203,,
20.76,569,205,,
20.78,573,207,,
20.8,576,208,,
20.82,582,213,,
20.84,585,213,Wall_666_250,
20.86,586,213,,
20.88,586,213,,
20.9,586,213,,
20.92,586,213,,
20.94,586,213,,
20.96,586,213,,
20.98,586,213,,
21,586,213,,
21.02,586,213,,
21.04,586,213,,
21.06,586,213,,
21.08,585,212,,
21.1,586,213,,
21.12,587,213,,
21.14,586,213,,
21.16,586,213,,
21.18,586,213,,
21.2,587,213,,
21.22,586,212,,
21.24,586,213,,
21.26,586,213,,
21.28,587,213,,
21.3,587,212,,
21.32,587,212,,
21.34,586,212,,
21.36,586,213,,
21.38,587,212,,
21.4,586,212,,
21.42,586,212,,
21.44,587,212,,
21.46,586,213,,
21.48,587,212,,
21.5,587,212,,
21.52,586,212,,
21.54,587,212,,
21.56,587,212,,
21.58,587,212,,
21.6,588,212,,
21.62,587,212,,
21.64,587,211,,
21.66,587,211,,
21.68,587,212,,
21.7,588,212,,
21.72,587,211,,
21.74,587,211,,
21.76,587,211,,
21.78,587,211,,
21.8,588,212,,
21.82,587,211,,
21.84,588,211,,
21.86,586,211,,
21.88,587,211,,
21.9,589,212,,
21.92,588,211,,
21.94,587,211,,
21.96,587,211,,
21.98,586,211,,
22,589,212,,
22.02,587,211,,
22.04,587,211,,
22.06,587,211,,
22.08,587,210,,
22.1,590,211,,
22.12,588,210,,
22.14,588,210,,
22.16,588,210,Wall_666_250,
22.18,589,209,Wall_666_250,
22.2,589,209,Wall_666_250,
22.22,593,210,Wall_666_250,
22.24,592,209,Wall_666_250,
22.26,592,208,,
22.28,593,208,,
22.3,594,207,,
22.32,598,208,,
22.34,597,206,,
22.36,598,206,,
22.38,599,205,,
22.4,600,205,,
22.42,601,204,,
22.44,606,204,,
22.46,606,203,,
22.48,607,202,,
22.5,608,202,,
22.52,610,201,,
22.54,614,201,,
22.56,615,200,,
22.58,616,199,,
22.6,618,198,,
22.62,619,197,,
22.64,625,197,,
22.66,625,195,,
22.68,627,195,,
22.7,629,194,,
22.72,631,193,,
22.74,633,192,,
22.76,638,191,,
22.78,639,190,,
22.8,641,189,,
22.82,643,188,,
22.84,646,187,,
22.86,652,186,,
22.88,653,185,,
22.9,655,183,,
22.92,658,182,,
22.94,660,182,,
22.96,667,180,,
22.98,668,179,,
23,671,177,,
23.02,674,176,,
23.04,676,175,,
23.06,679,174,,
23.08,686,172,,
23.1,688,171,,
23.12,691,170,,
23.14,694,168,,
23.16,697,167,,
23.18,703,165,,
23.2,706,163,,
23.22,709,162,,
23.24,712,161,,
23.26,714,159,,
23.28,721,157,,
23.3,724,156,,
23.32,726,154,,
23.34,729,153,,
23.36,732,152,,
23.38,735,150,,
23.4,742,148,,
23.42,745,146,Wall_893_93,
23.44,748,145,,
23.46,751,143,,
23.48,754,142,,
23.5,760,139,,
23.52,763,137,,
23.54,766,136,,
23.56,769,134,,
23.58,772,133,,
23.6,778,130,,
23.62,781,128,,
23.64,784,126,,
23.66,787,124,,
23.68,789,122,,
23.7,792,121,,
23.72,798,117,,
23.74,801,115,,
23.76,804,113,,
23.78,806,111,,
23.8,809,109,,
23.82,815,106,,
23.84,818,104,,
23.86,820,102,,
23.88,823,99,,
23.9,825,97,,
23.92,831,93,,
23.94,833,91,,
23.96,836,89,,
23.98,838,87,,
24,840,84,,
24.02,842,82,,
24.04,848,78,,
24.06,850,75,,
24.08,852,73,,
24.1,854,70,,
24.12,856,68,,
24.14,861,63,,
24.16,863,61,,
24.18,865,58,,
24.2,867,56,,
24.22,868,53,,
24.24,873,48,,
24.26,874,46,,
24.28,876,43,,
24.3,878,40,,
24.32,879,38,,
24.34,881,35,,
24.36,884,30,,
24.38,885,27,,
24.4,887,24,,
24.42,888,22,,
24.44,889,19,,
24.46,892,14,,
24.48,893,11,,
24.5,893,8,,
24.52,894,5,,
24.54,895,2,,
24.56,897,-3,,
24.58,897,-6,Wall_1000_00,
24.6,898,-9,,
24.62,898,-11,,
24.64,898,-14,,
24.66,898,-16,,
24.68,899,-21,,
24.7,898,-24,,
24.72,898,-26,,
24.74,898,-28,,
24.76,898,-31,,
24.78,900,-36,,
24.8,900,-38,,
24.82,900,-40,,
24.84,900,-43,,
24.86,900,-45,,
24.88,900,-48,,
24.9,901,-52,,
24.92,902,-54,,
24.94,902,-57,,
24.96,902,-59,,
24.98,902,-61,,
25,902,-65,,
25.02,902,-67,,
25.04,902,-69,,
25.06,902,-72,,
25.08,902,-74,,
25.1,903,-77,,
25.12,903,-79,,
25.14,902,-81,,
25.16,902,-83,,
25.18,902,-85,,
25.2,902,-87,,
25.22,902,-90,,
25.24,902,-92,,
25.26,901,-94,,
25.28,901,-96,,
25.3,901,-98,,
25.32,901,-101,,
25.34,901,-102,,
25.36,900,-104,,
25.38,900,-105,,
25.4,899,-107,,
25.42,899,-110,,
25.44,899,-111,,
25.46,898,-113,,
25.48,898,-114,,
25.5,897,-116,,
25.52,897,-117,,
25.54,896,-119,,
25.56,896,-121,,
25.58,895,-122,,
25.6,895,-123,,
25.62,894,-125,,
25.64,894,-127,,
25.66,893,-128,,
25.68,892,-129,,
25.7,892,-130,,
25.72,891,-131,,
25.74,890,-133,,
25.76,890,-134,,
25.78,889,-135,,
25.8,888,-136,,
25.82,887,-137,,
25.84,886,-138,,
25.86,886,-139,,
25.88,885,-140,,
25.9,884,-141,,
25.92,883,-142,,
25.94,882,-142,,
25.96,881,-143,,
25.98,880,-144,,
26,879,-145,,
26.02,878,-145,,
26.04,878,-146,,
26.06,877,-146,,
26.08,876,-147,,
26.1,874,-148,,
26.12,873,-148,,
26.14,872,-149,,
26.16,871,-149,,
26.18,870,-149,,
26.2,869,-150,,
