sep=,
Time,x-Position,y-Position,Distance,Collision
21.9,3,3,32.34747,
21.92,3,3,32.15046,
21.94,3,3,31.93576,
21.96,3,3,31.70324,
21.98,3,3,31.3224,
22,3,3,31.07262,
22.02,3,3,30.58171,
22.04,3,3,30.34065,
22.06,3,3,30.1026,
22.08,3,3,29.87403,
22.1,3,3,29.65467,
22.12,3,3,29.44171,
22.14,3,3,29.12133,
22.16,3,3,28.71762,
22.18,3,3,28.51881,
22.2,3,3,28.32164,
22.22,3,3,28.12588,
22.24,3,3,27.93142,
22.26,3,3,27.54604,
22.28,3,3,27.54604,
22.3,3,3,27.07963,
22.32,3,3,26.8912,
22.34,3,3,26.70383,
22.36,3,3,26.51749,
22.38,3,2,26.33222,
22.4,3,2,25.96494,
22.42,3,2,25.78294,
22.44,3,2,25.78294,
22.46,3,2,25.32703,
22.48,3,2,25.14913,
22.5,3,2,24.97244,
22.52,3,2,24.79697,
22.54,3,2,24.62277,
22.56,3,2,24.27643,
22.58,3,2,24.108,
22.6,3,2,23.86065,
22.62,3,2,23.69382,
22.64,3,2,23.52843,
22.66,3,2,23.36451,
22.68,3,2,23.20211,
22.7,3,2,22.88192,
22.72,3,2,22.72422,
22.74,3,2,22.56815,
22.76,3,2,22.33918,
22.78,3,2,22.18732,
22.8,3,2,22.03721,
22.82,3,2,21.8889,
22.84,3,2,21.5978,
22.86,3,2,21.45508,
22.88,3,2,21.31429,
22.9,3,2,21.17552,
22.92,3,2,20.97423,
22.94,3,2,20.84052,
22.96,3,2,20.70891,
22.98,3,2,20.45224,
23,3,2,20.32724,
23.02,3,2,20.20451,
23.04,3,2,20.02126,
23.06,3,2,20.02126,
23.08,3,2,19.72597,
23.1,3,2,19.61555,
23.12,3,2,19.50768,
23.14,3,2,19.4024,
23.16,3,2,19.29974,
23.18,3,2,19.10247,
23.2,3,2,19.00794,
23.22,3,2,18.87282,
23.24,3,2,18.7853,
23.26,3,2,18.70066,
23.28,3,2,18.61897,
23.3,3,2,18.54025,
23.32,3,2,18.39186,
23.34,3,2,18.32227,
23.36,3,2,18.25579,
23.38,3,2,18.15946,
23.4,3,2,18.10106,
23.42,3,2,18.0459,
23.44,3,2,17.99401,
23.46,3,2,17.9454,
23.48,3,2,17.85818,
23.5,3,2,17.8196,
23.52,3,2,17.78441,
23.54,3,2,17.7345,
23.56,3,2,17.7083,
23.58,3,2,17.68556,
23.6,3,2,17.66628,
23.62,3,2,17.65048,
23.64,3,2,17.62934,
23.66,3,2,17.62403,
23.68,3,2,17.62221,
23.7,3,2,17.62222,
23.72,3,2,17.62222,
23.74,3,2,17.62221,
23.76,3,2,17.62221,
23.78,3,2,17.62221,
23.8,3,2,17.6222,
23.82,3,2,17.61873,
23.84,3,2,17.61215,
23.86,3,2,17.60273,
23.88,3,2,17.59617,
23.9,3,2,17.59576,
23.92,3,2,17.59576,
23.94,3,2,17.59576,
23.96,3,2,17.59575,
23.98,3,2,17.59575,
24,3,2,17.59574,
24.02,3,2,17.59574,
24.04,3,2,17.59574,
24.06,3,2,17.59573,
24.08,3,2,17.59608,
24.1,3,2,17.5994,
24.12,3,2,17.60623,
24.14,3,2,17.61657,
24.16,3,2,17.6304,
24.18,3,2,17.65824,
24.2,3,2,17.68086,
24.22,3,2,17.73647,
24.24,3,2,17.76942,
24.26,3,2,17.80579,
24.28,3,2,17.84553,
24.3,3,2,17.88865,
24.32,3,2,17.93509,
24.34,3,2,18.01259,
24.36,3,2,18.12539,
24.38,3,2,18.18662,
24.4,3,2,18.25103,
24.42,3,2,18.31859,
24.44,3,2,18.38926,
24.46,3,2,18.53979,
24.48,3,2,18.53979,
24.5,3,2,18.74059,
24.52,3,2,18.82756,
24.54,3,2,18.91739,
24.56,3,2,19.01005,
24.58,3,2,19.10549,
24.6,3,2,19.30456,
24.62,3,2,19.4081,
24.64,3,2,19.56676,
24.66,3,2,19.67673,
24.68,3,2,19.78919,
24.7,3,2,19.90413,
24.72,3,2,20.0215,
24.74,3,2,20.26334,
24.76,3,2,20.38772,
24.78,3,2,20.51436,
24.8,3,2,20.71291,
24.82,3,2,20.84509,
24.84,3,2,20.97937,
24.86,3,2,21.11572,
24.88,3,2,21.2541,
24.9,3,2,21.53756,
24.92,3,2,21.68104,
24.94,3,2,21.82718,
24.96,3,2,22.05105,
24.98,3,2,22.20172,
25,3,2,22.35413,
25.02,3,2,22.50825,
25.04,3,2,22.8215,
25.06,3,2,22.98054,
25.08,3,2,23.14116,
25.1,3,2,23.30333,
25.12,3,2,23.55281,
25.14,3,2,23.71873,
25.16,3,2,23.88607,
25.18,3,2,24.22496,
25.2,3,2,24.39642,
25.22,3,2,24.56921,
25.24,3,2,24.74327,
25.26,3,2,24.91861,
25.28,3,2,25.18826,
25.3,3,2,25.36668,
25.32,3,2,25.72698,
25.34,3,2,25.90882,
25.36,3,2,26.09178,
25.38,3,2,26.2758,
25.4,3,2,26.46087,
25.42,3,2,26.64699,
25.44,3,2,26.93443,
25.46,3,2,27.12306,
25.48,3,2,27.50319,
25.5,3,2,27.69463,
25.52,3,2,27.88698,
25.54,3,2,28.0802,
25.56,3,2,28.2743,
25.58,3,2,28.46924,
25.6,3,2,28.75025,
25.62,3,2,29.14489,
25.64,3,2,29.34338,
25.66,3,2,29.54263,
25.68,3,2,29.7426,
25.7,3,2,29.94332,
25.72,3,2,30.34686,
25.74,3,2,30.34686,
25.76,3,2,30.84935,
25.78,3,2,31.05379,
25.8,3,2,31.25887,
25.82,3,2,31.46457,
25.84,3,2,31.67089,
25.86,3,2,32.08531,
25.88,3,2,32.2934,
25.9,3,2,32.2934,
25.92,3,2,32.84892,
25.94,3,2,33.05903,
25.96,3,2,33.26968,
25.98,3,2,33.48083,
26,3,2,33.6925,
26.02,3,2,34.11732,
26.04,3,2,34.33046,
26.06,3,2,34.63866,
26.08,3,2,34.85299,
26.1,3,2,35.06768,
26.12,3,2,35.28285,
26.14,3,2,35.49846,
26.16,3,2,35.93095,
26.18,3,2,36.14782,
26.2,3,2,36.36509,
26.22,3,2,36.68156,
26.24,3,2,36.8998,
26.26,3,2,37.11841,
26.28,3,2,37.44651,
26.3,3,2,37.66605,
26.32,3,2,37.88595,
26.34,3,2,38.32731,
26.36,3,2,38.54773,
26.38,3,2,38.87278,
26.4,3,2,39.09454,
26.42,3,2,39.31691,
26.44,3,2,39.53899,
26.46,3,2,39.76168,
26.48,3,2,40.20797,
26.5,3,2,40.43155,
26.52,3,2,40.65543,
26.54,3,2,40.99728,
26.56,3,2,41.22187,
26.58,3,2,41.44672,
26.6,3,2,41.67186,
26.62,3,2,41.89725,
26.64,3,2,42.34882,
26.66,3,2,42.57496,
26.68,3,2,42.80137,
26.7,3,2,43.17065,
26.72,3,2,43.3977,
26.74,3,2,43.62497,
26.76,3,2,43.85248,
26.78,3,2,44.30816,
26.8,3,2,44.53633,
26.82,3,2,44.76472,
26.84,3,2,44.99333,
26.86,3,2,45.35057,
26.88,3,2,45.57971,
26.9,3,1,45.80905,
26.92,3,1,46.03998,
26.94,3,1,46.49825,
26.96,3,1,46.72836,
26.98,3,1,46.95866,
27,3,1,47.18917,
27.02,3,1,47.52169,
27.04,3,1,47.75263,
27.06,3,1,47.98375,
27.08,3,1,48.44647,
27.1,3,1,48.67809,
27.12,3,1,48.90986,
27.14,3,1,49.14181,
27.16,3,1,49.3739,
27.18,3,1,49.71375,
27.2,3,1,49.94625,
27.22,3,1,50.41169,
27.24,3,1,50.55003,
27.26,3,1,50.31266,
27.28,3,1,50.07541,
27.3,3,1,49.83828,
27.32,3,1,49.60124,
27.34,3,1,49.25666,
27.36,3,1,48.78327,
27.38,3,1,48.54674,
27.4,3,1,48.31035,
27.42,3,1,48.07404,
27.44,3,1,47.83792,
27.46,3,1,47.36601,
27.48,3,1,47.36601,
27.5,3,1,46.76861,
27.52,3,1,46.53317,
27.54,3,1,46.29788,
27.56,3,1,46.06273,
27.58,3,1,45.82771,
27.6,3,1,45.35812,
27.62,3,1,45.12354,
27.64,3,1,44.78396,
27.66,3,1,44.54975,
27.68,3,1,44.31569,
27.7,3,1,44.0818,
27.72,3,1,43.84806,
27.74,3,1,43.38108,
27.76,3,1,43.14786,
27.78,3,1,42.91479,
27.8,3,1,42.57024,
27.82,3,1,42.3376,
27.84,3,1,42.10514,
27.86,3,1,41.8729,
27.88,3,1,41.40893,
27.9,3,1,41.17723,
27.92,3,1,40.94575,
27.94,3,1,40.71446,
27.96,3,1,40.37998,
